County,ClintonDelegates,SandersDelegeates,O'MalleyDelegates,TotalDelegates
Adair,1.68,1.3199999999999998,0,3
Adams,1.1333333333333333,0.8666666666666667,0,2
Allamakee,3.04,2.96,0,6
Appanoose,2.7333333333333334,2.2666666666666666,0,5
Audubon,1.875,1.125,0,3
Benton,6.72,5.28,0,12
Black Hawk,32.2,36.471428571428575,0.16428571428571428,69
Boone,5.85,7.15,0,13
Bremer,6.4,5.44,0.16,12
Buchanan,5.25,4.75,0,10
Buena Vista,2.914285714285714,2.914285714285714,0.17142857142857143,6
Butler,2.5,3.5,0,6
Calhoun,2,2,0,4
Carroll,5.04,2.96,0,8
Cass,3,1.9000000000000001,0.1,5
Cedar,3.5428571428571427,4.457142857142857,0,8
Cerro Gordo,10.911999999999999,11.088,0,22
Cherokee,1.8181818181818181,2.1818181818181817,0,3.9999999999999996
Chickasaw,3.6,2.34,0.06,6
Clarke,2.32,1.68,0,4
Clay,2.9647058823529413,3.0352941176470587,0,6
Clayton,3.92,4.08,0,8
Clinton,11.657142857142857,12.342857142857143,0,24
Crawford,2.25,2.083333333333333,0.6666666666666666,5
Dallas,16.675,12.083333333333334,0.24166666666666667,29
Davis,1.74,1.26,0,3
Decatur,1.5,1.4142857142857144,0.04285714285714285,3
Delaware,4.4,3.44,0.16,8
Des Moines,9.333333333333334,10.666666666666666,0,20
Dickinson,3.4124999999999996,3.5875,0,6.999999999999999
Emmet,1.68,1.32,0,3
Fayette,5.257142857142857,4.685714285714285,0,10
Floyd,4.533333333333333,3.466666666666667,0,8
Franklin,2.2666666666666666,1.6888888888888889,0.044444444444444446,4
Fremont,1.2,1.35,0.15,2.7
Greene,2.153846153846154,1.8461538461538463,0,4
Grundy,1.8666666666666667,2.066666666666667,0.06666666666666667,4
Guthrie,2.2,1.8,0,4
Hamilton,3.533333333333333,2.466666666666667,0,6
Hancock,2.4,1.52,0,3.92
Hardin,4.032,2.968,0,7
Harrison,2.2666666666666666,2.7333333333333334,0,5
Henry,3.4999999999999996,3.4999999999999996,0,6.999999999999999
Howard,1.8461538461538463,2.1538461538461537,0,4
Humboldt,1.6666666666666665,1.3333333333333333,0,3
Ida,1.0666666666666667,0.9333333333333333,0,2
Iowa,3.5700000000000003,3.43,0,7.000000000000001
Jasper,9.27,8.1,0.63,18
Jefferson,2.4545454545454546,6.545454545454545,0,9
Johnson,37.008498583569406,54.73087818696884,0.26062322946175637,92
Jones,4.2,4.8,0,9
Keokuk,2.5,1.4000000000000001,0.1,4
Kossuth,3.5999999999999996,2.1333333333333333,0.13333333333333333,5.933333333333333
Lee,9.293333333333333,7.706666666666666,0,17
Louisa,2.24,1.68,0.08,4
Lucas,1.8,1.2,0,3
Madison,3.2,2.8000000000000003,0,6
Mahaska,3.933333333333333,3.0666666666666664,0,7
Marion,6.5,6.24,0.26,13
Marshall,8.4,9.6,0,18
Mills,2.5555555555555554,2.444444444444444,0,5
Monona,1.8,1.1624999999999999,0.0375,3
Monroe,1.2923076923076924,1.3384615384615386,0.36923076923076925,3
Muscatine,8.28,9.72,0,18
O'Brien,1.5272727272727271,1.4181818181818182,0.05454545454545454,3
Osceola,0.5666666666666667,0.38333333333333336,0.05,1
Page,1.9733333333333334,2.026666666666667,0,4
Palo Alto,2.1333333333333333,1.8666666666666667,0,4
Pocahontas,1.98,0.9,0.12,3
Polk,121.22,105.26,1.52,228
Pottawattamie,15.19,15.7325,0,31
Poweshiek,4.247999999999999,4.752,0,9
Ringgold,1.325,0.675,0,2
Sac,1.6500000000000001,1.35,0,3
Scott,40.25454545454545,41.447272727272725,0.29818181818181816,81.99999999999999
Sioux,1.9200000000000002,2.026666666666667,0,4
Story,18.63,27.37,0,46
Tama,4.764705882352941,4.235294117647059,0,9
Taylor,1.4,0.6,0,2
Union,2.3125,2.6875,0,5
Van Buren,0.9333333333333333,1.0666666666666667,0,2
Wapello,8.174999999999999,6.675,0.075,14.924999999999999
Warren,12.173333333333334,9.533333333333333,0.29333333333333333,22
Washington,4.846153846153847,4.153846153846154,0,9
Wayne,1.3,0.7,0,2
Webster,8.666666666666666,7.2,0.13333333333333333,16
Winnebago,1.7000000000000002,2.3000000000000003,0,4
Winneshiek,4.84,6.159999999999999,0,11
Woodbury,16.65,19.2,0.15,36
Worth,1.8133333333333335,2.186666666666667,0,4
Wright,2.7333333333333334,2.2666666666666666,0,5
Dubuque,25.043478260869563,22.766798418972332,0.18972332015810275,48
Jackson,4.5,4.14,0.36,9
Linn,57.3343023255814,63.3139534883721,0.35174418604651164,121.00000000000001
Lyon,0.7999999999999999,1.1333333333333333,0.06666666666666667,2
Mitchell,2.6,1.35,0.05,4
Montgomery,1.0799999999999998,1.92,0,3
Plymouth,3.8769230769230774,3.123076923076923,0,7
Shelby,1.68,2.32,0,4
Caucus Expansion Results,3,2,0,5
